country_ISO_code,population,ischaemic_heart_disease,stroke,chronic_obstructive_pulmonary_disease,lower_respiratory_infections,neonatal_conditions,trachae_lung_bronchus_cancer,alzheimers_disease_dementia,diahorreal_diseases,diabetes_mellitus,kidney_diseases,,,,,,,,,,,,,
JPN,126860,30.6,29.7,12.7,16.6,0.7,18.1,7.9,0.5,1.4,7.6,,,,,,,,,,,,,
JOR,10102,98.9,56.0,9.4,15.1,9.5,19.3,17.5,1.7,34.6,30.4,,,,,,,,,,,,,
KAZ,18551,181.6,145.8,42.4,18.8,6.1,20.5,15.4,1.3,12.4,9.1,,,,,,,,,,,,,
KEN,52574,72.7,104.5,26.8,85.7,21.7,3.2,18.3,53.5,30.4,23.3,,,,,,,,,,,,,
KIR,118,246.2,319.9,51.1,59.4,26.1,19.0,25.3,82.4,208.7,56.7,,,,,,,,,,,,,
KWT,4207,94.1,46.2,6.5,26.9,4.4,8.2,17.4,0.2,14.8,12.4,,,,,,,,,,,,,
KGZ,6416,246.4,117.6,30.3,11.0,13.7,13.5,15.2,1.2,5.8,8.0,,,,,,,,,,,,,
LAO,7169,139.7,168.0,46.2,59.1,22.3,21.0,16.4,27.9,36.4,38.6,,,,,,,,,,,,,
LVA,1907,146.6,120.4,7.5,12.0,1.4,23.5,9.9,0.3,10.9,6.4,,,,,,,,,,,,,
LBN,6856,211.2,29.2,14.2,14.8,4.1,23.2,19.1,1.3,15.0,19.8,,,,,,,,,,,,,
LSO,2125,155.9,230.4,83.8,192.1,41.8,3.9,17.2,142.1,147.6,69.9,,,,,,,,,,,,,
LBR,4937,98.9,71.2,15.4,78.4,30.9,2.7,17.6,48.0,31.6,27.8,,,,,,,,,,,,,
LBY,6777,158.9,59.0,15.4,16.9,7.1,13.4,22.4,1.8,19.2,28.7,,,,,,,,,,,,,
LTU,2760,174.7,80.0,6.9,10.9,1.5,22.6,6.7,0.7,7.8,4.8,,,,,,,,,,,,,
LUX,616,48.9,21.2,18.8,7.6,1.6,25.5,18.3,0.4,4.8,6.4,,,,,,,,,,,,,
MDG,26969,118.1,152.8,38.8,87.0,19.2,1.2,14.6,61.2,29.3,18.8,,,,,,,,,,,,,
MWI,18629,82.4,125.3,23.1,79.5,21.1,1.9,19.9,60.7,36.0,23.9,,,,,,,,,,,,,
MYS,31950,136.2,84.4,25.9,90.2,4.6,15.3,17.0,6.6,14.8,24.2,,,,,,,,,,,,,
MDV,531,103.5,62.1,34.7,11.6,5.1,13.1,18.3,4.2,17.4,29.0,,,,,,,,,,,,,
MLI,19658,106.9,93.9,31.7,69.1,33.8,3.8,19.9,97.7,35.8,29.2,,,,,,,,,,,,,
MLT,440,74.8,27.1,10.5,16.3,4.7,20.4,15.5,0.1,14.5,6.7,,,,,,,,,,,,,
MRT,4526,97.6,63.0,16.3,84.5,33.8,2.8,19.8,44.1,33.1,28.7,,,,,,,,,,,,,
MUS,1270,102.8,69.9,37.2,21.5,11.6,10.2,2.4,1.4,104.4,41.1,,,,,,,,,,,,,
MEX,127576,92.4,35.5,23.1,19.4,8.2,6.2,2.7,2.8,71.9,36.7,,,,,,,,,,,,,
FSM,114,280.4,203.6,67.9,66.8,16.2,31.3,19.0,20.0,172.0,77.0,,,,,,,,,,,,,
MNG,3225,283.8,275.3,18.2,14.5,8.1,20.6,17.6,1.7,6.2,17.9,,,,,,,,,,,,,
MNE,628,151.1,193.8,7.5,7.4,2.2,33.8,17.7,0.1,15.6,13.4,,,,,,,,,,,,,
MAR,36472,242.1,98.9,20.0,22.1,14.6,18.4,18.1,3.5,22.3,31.8,,,,,,,,,,,,,
MOZ,30366,114.1,261.5,27.7,113.1,28.7,1.7,23.9,57.9,56.9,30.6,,,,,,,,,,,,,
MMR,54045,90.3,207.5,73.6,40.3,21.5,16.6,17.1,17.0,48.1,23.5,,,,,,,,,,,,,
NAM,2495,105.7,137.9,41.0,94.2,20.2,4.4,18.3,38.1,61.5,25.8,,,,,,,,,,,,,
NPL,28609,102.2,82.3,149.0,29.4,19.8,18.2,13.6,29.7,16.1,21.3,,,,,,,,,,,,,
NLD,17097,38.4,21.4,21.6,9.8,2.9,29.8,33.8,1.2,5.6,5.2,,,,,,,,,,,,,
NZL,4783,49.6,21.6,18.2,8.1,2.7,21.6,24.8,0.8,8.3,4.2,,,,,,,,,,,,,
NIC,6546,124.5,53.0,33.6,20.9,9.4,5.9,3.0,2.1,44.6,74.0,,,,,,,,,,,,,
NER,23311,118.5,110.8,30.6,118.9,28.0,0.5,20.2,93.6,33.7,29.6,,,,,,,,,,,,,
NGA,200964,100.9,83.8,20.8,98.1,36.0,1.4,19.4,79.0,33.5,23.9,,,,,,,,,,,,,
MKD,2083,135.5,176.6,24.1,5.6,5.2,31.9,2.1,0.1,32.6,15.5,,,,,,,,,,,,,
NOR,5379,40.1,19.3,21.8,11.8,1.5,22.1,28.9,0.9,4.8,4.3,,,,,,,,,,,,,
OMN,4975,302.0,102.9,20.6,37.1,5.2,4.8,22.5,3.0,58.1,18.2,,,,,,,,,,,,,
PAK,216565,193.6,105.7,77.8,37.4,38.7,7.4,16.3,65.8,52.4,42.0,,,,,,,,,,,,,
PAN,4246,53.5,48.7,15.8,13.9,7.8,6.9,5.4,3.6,23.5,23.9,,,,,,,,,,,,,
PNG,8776,153.0,137.3,122.5,42.0,22.1,13.7,14.5,48.6,96.8,13.1,,,,,,,,,,,,,
PRY,7045,76.7,60.3,21.0,27.4,9.8,13.0,2.6,2.8,41.9,27.9,,,,,,,,,,,,,
